br-data-accession,br-data-model-protein-accession,br-data-product-name,br-data-family-type,br-data-gene-symbol,br-data-ec-number,br-data-go-terms,br-data-complete_ident,br-data-complete-wp-coverage,br-data-complete-br-coverage,br-data-hits-number,br-data-date
NBR000932,"WP_000209756,WP_000209755.1",lipoate--protein ligase LplA,BlastRuleEquivalog,lplA,6.3.1.20,,80,80,90,3493,2021-02-10
NBR000933,"WP_000594021,WP_000594016.1",methionine ABC transporter ATP-binding protein MetN,BlastRuleEquivalog,metN,,,80,80,90,2159,2018-01-16
NBR000934,WP_000569655.1,virulence-associated ABC transporter ATP-binding protein SfbB,BlastRuleEquivalog,sfbB,,,80,80,90,636,2021-02-23
NBR000935,WP_000977709.1,porin OmpF,BlastRuleException,ompF,,,81,90,90,153,2018-09-25
NBR000936,"WP_000132874,WP_000141123.1",tyrosine recombinase XerC,BlastRuleEquivalog,xerC,,,80,80,90,1817,2018-01-16
NBR000939,WP_000694473.1,2-keto-3-deoxygluconate permease 2,BlastRuleEquivalog,,,,80,80,90,No hit has been calculated yet for this BlastRule,2021-02-23
NBR000943,"WP_001688181,WP_001526160.1",GDP-mannose mannosyl hydrolase,BlastRuleEquivalog,,,,80,80,90,637,2019-11-13
NBR000951,"WP_001067421,WP_001067413.1",sulfofructosephosphate aldolase,BlastRuleEquivalog,yihT,4.1.2.57,,80,80,90,1390,2021-02-10
NBR000953,"WP_000944065,WP_000944073.1",thiazole synthase,BlastRuleEquivalog,thiG,2.8.1.10,,80,80,90,2556,2019-11-13
NBR000955,WP_000488766.1,type IV secretion system outer membrane cap subunit Cag3,BlastRuleException,cag3,,,85,90,90,1389,2024-07-10
NBR000956,WP_000879904.1,type IV secretion system apparatus protein CagM,BlastRuleException,cagM,,,94,90,90,511,2019-07-08
NBR000957,WP_000776464.1,type IV secretion system apparatus protein CagT,BlastRuleException,cagT,,,94,90,90,323,2019-08-13
NBR000958,WP_000529349.1,type IV secretion system apparatus protein CagX,BlastRuleException,cagX,,,94,90,90,908,2018-01-16
NBR000959,WP_001001434.1,type IV secretion system apparatus protein CagY,BlastRuleException,cagY,,,94,90,90,128,2019-08-13
NBR000960,WP_000814259.1,type IV secretion system chaperone CagF,BlastRuleException,cagF,,,94,90,90,685,2018-01-16
NBR000961,WP_000709741.1,outer inflammatory protein OipA,BlastRuleException,oipA,,,91,90,90,1400,2019-08-14
NBR000962,WP_015634933.1,orfamide A non-ribosomal peptide synthetase OfaA,BlastRuleException,ofaA,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,57,2023-10-03
NBR000963,WP_015634934.1,orfamide A non-ribosomal peptide synthetase OfaB,BlastRuleException,ofaB,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,56,2023-10-03
NBR000964,WP_015634935.1,orfamide A non-ribosomal peptide synthetase OfaC,BlastRuleException,ofaC,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,56,2023-10-03
NBR000965,"WP_043070051,WP_040302188.1",gramicidin S biosynthesis thioesterase GrsT,BlastRuleException,grsT,,,94,90,90,8,2018-01-16
NBR000966,"WP_021620949,WP_043064678.1",gramicidin S non-ribosomal peptide synthetase GrsA,BlastRuleException,grsA,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,8,2023-10-03
NBR000967,"WP_021620950,WP_043064679.1",gramicidin S non-ribosomal peptide synthetase GrsB,BlastRuleException,grsB,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,10,2023-10-03
NBR000968,"WP_007729109,WP_015891184,WP_063231010,WP_047069411.1",linear gramicidin aldoreductase LgrE,BlastRuleException,lgrE,,,94,90,90,34,2018-01-16
NBR000969,"WP_047069415,WP_063231006,WP_015891188.1",linear gramicidin non-ribosomal peptide synthetase LgrA,BlastRuleException,lgrA,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,31,2023-10-03
NBR000970,"WP_015891189,WP_039961527.1",linear gramicidin non-ribosomal peptide synthetase LgrB,BlastRuleException,lgrB,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,20,2023-10-03
NBR000971,"WP_063231005,WP_007729123,WP_047069416.1",linear gramicidin non-ribosomal peptide synthetase LgrC,BlastRuleException,lgrC,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,30,2023-10-03
NBR000972,"WP_015891246,WP_047069527,WP_063231080,WP_039961529.1",linear gramicidin non-ribosomal peptide synthetase LgrD,BlastRuleException,lgrD,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,47,2023-10-03
NBR000973,WP_035338352.1,bacitracin non-ribosomal peptide synthetase BacA,BlastRuleException,bacA,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,152,2023-10-03
NBR000974,"WP_029418460,WP_039072839.1",bacitracin non-ribosomal peptide synthetase BacB,BlastRuleException,bacB,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,161,2023-10-03
NBR000975,WP_043054383.1,bacitracin non-ribosomal peptide synthetase BacC,BlastRuleException,bacC,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),94,90,90,151,2023-10-03
NBR000976,"WP_005834061,WP_015891084.1",tyrocidine non-ribosomal peptide synthetase TycA,BlastRuleException,tycA,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),90,90,90,60,2023-10-03
NBR000977,"WP_026557190,WP_047069310,WP_048032941.1",tyrocidine non-ribosomal peptide synthetase TycB,BlastRuleException,tycB,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),90,90,90,61,2023-10-03
NBR000978,"WP_007721726,WP_025844100.1",tyrocidine non-ribosomal peptide synthetase TycC,BlastRuleException,tycC,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),90,90,90,61,2023-10-03
NBR000979,WP_045063280.1,isoprene monooxygenase effector protein,BlastRuleEquivalog,isoD,,,80,80,90,9,2018-01-16
NBR000980,WP_045063283.1,isoprene monooxygenase ferredoxin,BlastRuleEquivalog,isoC,,,80,80,90,11,2018-01-16
NBR000981,WP_095413456.1,isoprene monooxygenase oxygenase subunit alpha,BlastRuleEquivalog,isoA,,,80,80,90,26,2018-01-16
NBR000982,WP_045063278.1,isoprene monooxygenase oxygenase subunit beta,BlastRuleEquivalog,isoE,,,80,80,90,13,2018-01-16
NBR000983,WP_045063285.1,isoprene monooxygenase oxygenase subunit gamma,BlastRuleEquivalog,isoB,,,80,80,90,9,2018-01-16
NBR000984,WP_045063276.1,isoprene monooxygenase reductase,BlastRuleEquivalog,isoF,,,80,80,90,10,2018-01-16
NBR000985,WP_012027972.1,heme-binding protein SntA,BlastRuleException,sntA,,,94,90,90,255,2020-02-21
NBR000986,WP_061416196.1,beta-channel forming toxin NetE,BlastRuleException,netE,,,94,90,90,2,2020-02-21
NBR000987,WP_061416173.1,necrotizing enteritis toxin NetF,BlastRuleException,netF,,,94,90,90,2,2020-02-21
NBR000988,WP_075809491.1,beta-channel forming toxin NetG,BlastRuleException,netG,,,94,90,90,1,2018-01-16
NBR000989,WP_011597357.1,4-hydroxyphenyl-beta-hydroxyacyl-CoA dehydrogenase,BlastRuleEquivalog,couN,,,80,80,90,114,2018-01-16
NBR000990,WP_011597356.1,4-hydroxyphenyl-beta-ketoacyl-CoA hydrolase,BlastRuleEquivalog,couO,,,80,80,90,158,2018-01-16
NBR000991,WP_009478157.1,MarR family transcriptional repressor CouR,BlastRuleEquivalog,couR,,,80,80,90,23,2018-01-16
NBR000992,WP_009478165.1,dihydro-p-hydroxycinnamoy-CoA dehydrogenase,BlastRuleEquivalog,couH,,,80,80,90,43,2018-01-16
NBR000993,WP_011597363.1,p-hydroxycinnamate MFS transporter,BlastRuleEquivalog,couT,,,80,80,90,37,2018-01-16
NBR000994,WP_011597355.1,p-hydroxycinnamoyl-CoA hydratase,BlastRuleEquivalog,couM,,,80,80,90,82,2018-01-16
NBR000995,WP_011597362.1,p-hydroxycinnamoyl-CoA synthetase,BlastRuleEquivalog,couL,,,80,80,90,53,2018-01-16
NBR000996,"WP_010906180,WP_035165147,WP_014607929,WP_003731859.1",aminopeptidase C,BlastRuleEquivalog,pepC,,,70,80,90,2476,2018-01-16
NBR000997,"WP_000728764,WP_014612698,WP_039643602,WP_050329707,WP_050345001,WP_075773664,WP_083328546,WP_088808460.1",staphylococcal protein A,BlastRuleEquivalog,spa,,,80,80,90,3004,2021-12-16
NBR000998,WP_047335196.1,tandem-type lipoprotein Lpl1,BlastRuleException,lpl1,,,94,90,90,209,2018-01-16
NBR000999,WP_001269759.1,tandem-type lipoprotein Lpl2,BlastRuleException,lpl2,,,94,90,90,127,2018-01-16
NBR001000,WP_000971990.1,tandem-type lipoprotein Lpl4,BlastRuleException,lpl4,,,94,90,90,133,2018-01-16
NBR001001,WP_000835992.1,tandem-type lipoprotein Lpl5,BlastRuleException,lpl5,,,94,90,90,131,2018-01-16
NBR001002,WP_000456139.1,tandem-type lipoprotein Lpl6,BlastRuleException,lpl6,,,94,90,90,88,2018-01-16
NBR001003,WP_000649608.1,tandem-type lipoprotein Lpl7,BlastRuleException,lpl7,,,94,90,90,121,2018-01-16
NBR001004,WP_001797296.1,tandem-type lipoprotein Lpl8,BlastRuleException,lpl8,,,94,90,90,167,2020-09-09
NBR001005,WP_000835976.1,tandem-type lipoprotein Lpl9,BlastRuleException,lpl9,,,94,90,90,124,2018-01-16
NBR001006,WP_001801842.1,tandem-type lipoprotein Lpl10,BlastRuleException,lpl10,,,94,90,90,113,2018-01-16
NBR001007,"WP_012301031,WP_012301031,WP_011948511,WP_011948511.1",botulinum neurotoxin type A,BlastRuleEquivalog,bont,,,80,80,90,23,2024-01-16
NBR001008,"WP_012291519,WP_012291519.1",botulinum neurotoxin type B,BlastRuleEquivalog,bont,,,80,80,90,37,2024-01-16
NBR001009,"WP_015978970,WP_015978970.1",botulinum neurotoxin type C,BlastRuleEquivalog,bont,,,77,80,90,2,2024-01-16
NBR001010,WP_003377502.1,botulinum neurotoxin type D,BlastRuleEquivalog,bont,,,80,80,90,3,2018-01-16
NBR001011,"WP_095889390,WP_095889390.1",botulinum neurotoxin type E,BlastRuleEquivalog,bont,,,80,80,90,16,2024-01-16
NBR001012,"WP_021107080,WP_021107080,WP_011987710,WP_011987710,WP_095889393,WP_095889393,WP_095889389,WP_095889389.1",botulinum neurotoxin type F,BlastRuleEquivalog,bont,,,80,80,90,9,2024-01-16
NBR001013,WP_039635782.1,botulinum neurotoxin type G,BlastRuleEquivalog,bont,,,80,80,90,1,2018-01-16
NBR001014,WP_047402807.1,botulinum neurotoxin type H,BlastRuleEquivalog,bont,,,80,80,90,1,2018-01-16
NBR001015,WP_005550140.1,cholesterol-dependent cytolysin alveolysin,BlastRuleException,alv,,,94,90,90,10,2018-04-26
NBR001016,WP_095889387.1,cholesterol-dependent cytolysin perfringolysin O,BlastRuleException,pfoA,,,94,90,90,79,2021-09-17
NBR001017,WP_048730784.1,cholesterol-dependent cytolysin vaginolysin,BlastRuleException,vly,,,94,90,90,67,2018-04-26
NBR001018,WP_095889392.1,cholesterol-dependent cytolysin streptolysin O,BlastRuleException,slo,,,94,90,90,128,2020-08-24
NBR001019,WP_001284359.1,cholesterol-dependent cytolysin pneumolysin,BlastRuleException,ply,,,94,90,90,195,2018-04-26
NBR001020,WP_024963420.1,cholesterol-dependent cytolysin pyolysin,BlastRuleException,plo,,,94,90,90,17,2018-04-26
NBR001021,WP_006728954.1,cholesterol-dependent cytolysin inerolysin,BlastRuleException,iny,,,94,90,90,18,2018-04-26
NBR001022,WP_095889391.1,cholesterol-dependent cytolysin intermedilysin,BlastRuleException,ily,,,94,90,90,7,2018-04-26
NBR001023,WP_012027344.1,cholesterol-dependent cytolysin suilysin,BlastRuleException,sly,,,94,90,90,20,2021-02-05
NBR001024,WP_014091733.1,cholesterol-dependent cytolysin ivanolysin O,BlastRuleException,ilo,,,94,90,90,9,2018-04-26
NBR001025,"WP_000576704,WP_000576719,WP_095889388.1",anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo,BlastRuleException,alo,,,94,90,90,712,2022-02-07
NBR001026,WP_012984716.1,cholesterol-dependent cytolysin seeligeriolysin O,BlastRuleException,lso,,,94,90,90,13,2018-04-26
NBR001027,WP_003722731.1,cholesterol-dependent cytolysin listeriolysin O,BlastRuleException,hly,,,94,90,90,77,2018-04-26
NBR001028,WP_016263503.1,type III secretion system adenylate cyclase effector ExoY,BlastRuleException,exoY,,,94,90,90,291,2018-01-16
NBR001029,WP_080363108.1,bifunctional adenylate cyclase toxin/hemolysin CyaA,BlastRuleException,cyaA,,,94,90,90,61,2018-01-16
NBR001030,WP_010962721.1,cytoplasmic incompatibility factor CifA,BlastRuleException,cifA,,,94,90,90,15,2018-01-16
NBR001031,WP_010962722.1,cytoplasmic incompatibility factor CifB,BlastRuleException,cifB,,,94,90,90,14,2018-01-16
NBR001034,WP_003899157.1,F420-dependent biliverdin reductase,BlastRuleEquivalog,,,,80,80,90,532,2018-01-16
NBR001035,WP_096013070.1,azolemycin precursor peptide AzmA,BlastRuleException,azmA,,,94,90,90,No hit has been calculated yet for this BlastRule,2019-01-03
NBR001036,WP_009903304.1,sortase SrtB,BlastRuleException,srtB,,,94,90,90,45,2019-07-22
NBR001037,WP_021362860.1,SrtB-anchored collagen-binding adhesin,BlastRuleEquivalog,,,,80,80,90,213,2018-01-16
NBR001038,WP_011861847.1,collagen-binding adhesin CbpA,BlastRuleException,cbpA,,,85,90,90,872,2022-12-21
NBR001039,WP_011861958.1,SrtB-anchored collagen-binding adhesin,BlastRuleEquivalog,,,,80,80,90,1339,2019-07-22
NBR001041,WP_011860844.1,cell wall-binding protein CwpV,BlastRuleException,,,,94,90,90,7,2018-01-16
NBR001042,WP_011861684.1,cell wall-binding protein Cwp2,BlastRuleException,,,,94,90,90,110,2018-01-16
NBR001043,WP_011861682.1,cell wall-binding protein Cwp66,BlastRuleException,,,,94,90,90,8,2018-01-16
NBR001044,WP_011861680.1,cell wall-binding cysteine protease Cwp84,BlastRuleException,,,,94,90,90,157,2018-01-16
NBR001045,WP_011861679.1,cell wall-binding protein Cwp5,BlastRuleException,,,,94,90,90,118,2018-01-16
NBR001046,WP_011861676.1,cell wall-binding protein Cwp7,BlastRuleException,,,,94,90,90,39,2018-01-16
NBR001047,WP_011861692.1,cell wall-binding protein Cwp8,BlastRuleException,,,,94,90,90,100,2018-01-16
NBR001048,WP_011861691.1,cell wall-binding protein Cwp9,BlastRuleException,,,,94,90,90,90,2018-01-16
NBR001049,WP_011861689.1,cell wall-binding protein Cwp10,BlastRuleException,,,,94,90,90,148,2018-01-16
NBR001050,WP_011861688.1,cell wall-binding protein Cwp11,BlastRuleException,,,,94,90,90,153,2018-01-16
NBR001051,WP_011861687.1,cell wall-binding protein Cwp12,BlastRuleException,,,,94,90,90,81,2018-01-16
NBR001052,WP_011861325.1,cell wall-binding cysteine protease Cwp13,BlastRuleException,,,,94,90,90,114,2018-01-16
NBR001053,WP_009903316.1,cell wall-binding protein Cwp14,BlastRuleException,,,,94,90,90,79,2018-01-16
NBR001054,WP_003437956.1,cell wall-binding protein Cwp18,BlastRuleException,,,,94,90,90,53,2018-01-16
NBR001055,WP_011861673.1,cell wall-binding glycosyl-hydrolase Cwp19,BlastRuleException,,,,94,90,90,87,2018-01-16
NBR001056,WP_011861227.1,cell wall-binding protein Cwp20,BlastRuleException,,,,94,90,90,128,2018-01-16
NBR001057,WP_011861871.1,cell wall-binding protein Cwp21,BlastRuleException,,,,94,90,90,115,2018-01-16
NBR001058,WP_011861655.1,cell wall-binding protein Cwp22,BlastRuleException,,,,94,90,90,69,2018-01-16
NBR001059,WP_011861339.1,cell wall-binding protein Cwp23,BlastRuleException,,,,94,90,90,161,2018-01-16
NBR001060,WP_004454223.1,cell wall-binding protein Cwp25,BlastRuleException,,,,94,90,90,59,2018-01-16
NBR001061,WP_011861148.1,cell wall-binding protein Cwp26,BlastRuleException,,,,94,90,90,94,2018-01-16
NBR001062,WP_011860809.1,cell wall-binding protein Cwp27,BlastRuleException,,,,94,90,90,57,2018-01-16
NBR001063,WP_009897130.1,cell wall-binding protein Cwp28,BlastRuleException,,,,94,90,90,131,2018-01-16
NBR001064,WP_011861578.1,cell wall-binding protein Cwp29,BlastRuleException,,,,94,90,90,87,2018-01-16
NBR001065,WP_006285716.1,class III adenylate cyclase,BlastRuleException,,,,94,90,90,14,2020-09-09
NBR001066,"WP_004417715,WP_032655801.1",syringopeptin non-ribosomal peptide synthetase SypA,BlastRuleException,sypA,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),81,90,90,140,2023-10-03
NBR001067,"WP_096533096,WP_004417714.1",syringopeptin non-ribosomal peptide synthetase SypB,BlastRuleEquivalog,sypB,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),80,80,90,133,2023-10-03
NBR001068,"WP_046722256,WP_016568177.1",syringopeptin non-ribosomal peptide synthetase SypC,BlastRuleException,sypC,,Molecular function: non-ribosomal peptide synthetase activity (GO:1904091),82,90,90,113,2023-10-03
NBR001069,WP_033647162.1,anthrax toxin edema factor,BlastRuleException,cya,,,94,90,90,17,2018-01-16
NBR001070,WP_001022097.1,anthrax toxin lethal factor,BlastRuleException,lef,,,94,90,90,12,2018-01-16
NBR001071,WP_000746486.1,anthrax toxin protective antigen,BlastRuleException,pagA,,,94,90,90,12,2018-01-16
NBR001072,WP_010989385.1,class 1 internalin InlG,BlastRuleException,inlG,,,93,90,90,70,2024-03-05
NBR001073,WP_010989387.1,class 1 internalin InlE,BlastRuleException,inlE,,,92,90,90,115,2024-03-05
NBR001074,WP_014600431.1,class 1 internalin InlD,BlastRuleException,inlD,,,94,90,90,176,2018-01-16
NBR001075,WP_010989427.1,class 1 internalin InlI,BlastRuleException,inlI,,,93,90,90,407,2024-03-05
NBR001076,WP_010989452.1,class 1 internalin InlF,BlastRuleException,inlF,,,94,90,90,158,2018-01-16
NBR001077,WP_010990000.1,class 3 internalin InlP,BlastRuleException,inlP,,,92,90,90,108,2024-03-05
NBR001078,WP_010989812.1,class 3 internalin InlC,BlastRuleException,inlC,,,94,90,90,104,2018-01-16
NBR001079,WP_010989877.1,lmo2027 family class 3 internalin,BlastRuleException,,,,94,90,90,32,2018-01-16
NBR001080,WP_010989528.1,lmo0610 family class 1 internalin,BlastRuleException,,,,94,90,90,96,2018-01-16
NBR001081,WP_010989574.1,lmo0801 family class 1 internalin,BlastRuleException,,,,94,90,90,115,2018-01-16
NBR001082,WP_010989689.1,lmo1136 family class 1 internalin,BlastRuleException,,,,94,90,90,335,2018-01-16
NBR001083,WP_010989724.1,lmo1289 family class 1 internalin,BlastRuleException,,,,94,90,90,87,2018-01-16
NBR001084,WP_010989982.1,lmo2396 family class 1 internalin,BlastRuleException,,,,94,90,90,76,2018-01-16
NBR001085,WP_010989463.1,GW domain-containing class 2 internalin InlB,BlastRuleException,inlB,,,90,90,90,255,2024-03-05
NBR001086,WP_010989425.1,lmo0331 family class 1 internalin,BlastRuleException,,,,94,90,90,181,2018-01-16
NBR001087,WP_010989367.1,lmo0171 family class 1 internalin,BlastRuleException,,,,94,90,90,119,2018-01-16
NBR001088,WP_010989511.1,lmo0549 family WxL domain-containing class 2 internalin,BlastRuleException,,,,94,90,90,188,2018-01-16
NBR001089,WP_010989500.1,lmo0514 family class 1 internalin,BlastRuleException,,,,94,90,90,124,2018-01-16
NBR001090,WP_003732478.1,lmo2445 family class 3 internalin,BlastRuleException,,,,85,90,90,138,2023-02-10
NBR001091,WP_010989386.1,class 1 internalin InlH,BlastRuleException,inlH,,,99,90,90,11,2024-04-06
NBR001092,WP_014600430.1,class 1 internalin InlC2,BlastRuleException,inlC2,,,99,90,90,52,2024-04-06
NBR001093,WP_014600991.1,class 1 internalin InlL,BlastRuleException,inlL,,,90,90,90,57,2024-03-05
NBR001094,WP_003898168.1,L-erythrulose 1-kinase,BlastRuleEquivalog,lerK,,,80,80,90,42,2018-01-16
NBR001095,WP_011731538.1,L-erythrulose 1-phosphate isomerase,BlastRuleException,lerI,,,80,90,90,16,2018-01-16
NBR001096,WP_011728938.1,erythritol/L-threitol dehyrogenase,BlastRuleEquivalog,eltD,,,80,80,90,161,2018-01-16
NBR001097,WP_011729199.1,D-threitol dehydrogenase,BlastRuleEquivalog,dthD,1.1.1.403,,80,80,90,16,2024-03-13
NBR001098,WP_011728941.1,D-erythrulose 4-kinase,BlastRuleEquivalog,derK,2.7.1.210,,80,80,90,88,2018-01-16
NBR001099,WP_011728942.1,D-erythrulose 4-phosphate isomerase DerI1,BlastRuleException,derI1,,,90,90,90,19,2018-01-16
NBR001100,WP_011731539.1,D-erythrulose 4-phosphate isomerase DerI2,BlastRuleException,derI2,,,90,90,90,9,2018-01-16
NBR001101,WP_003895054.1,sugar ABC transporter xylitol/L-sorbitol-binding protein XypA,BlastRuleEquivalog,xypA,,,90,80,90,35,2018-01-16
NBR001102,WP_011729193.1,sugar ABC transporter xylitol/D-threitol-binding protein ThpA,BlastRuleEquivalog,thpA,,,90,80,90,16,2018-01-16
NBR001103,WP_003235032.1,ribosome-dependent mRNA decay endonuclease Rae1/YacP,BlastRuleEquivalog,rae1,,,80,80,90,127,2018-01-16
NBR001104,WP_001067855.1,IS6-like element IS26 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2851,2023-10-03
NBR001105,WP_015662694.1,8-demethyl-8-aminoriboflavin-5'-phosphate synthase RosB,BlastRuleEquivalog,rosB,,,80,80,90,8,2018-01-16
NBR001106,WP_015662736.1,"N,N-8-amino-8-demethyl-D-riboflavin dimethyltransferase RosA",BlastRuleEquivalog,rosA,,,80,80,90,6,2018-01-16
NBR001107,WP_002779487.1,multicopper oxidase CueO,BlastRuleEquivalog,cueO,,,80,80,90,672,2018-01-16
NBR001108,WP_000925242.1,multicopper oxidase PcoA,BlastRuleException,pcoA,,,94,90,90,710,2018-01-16
NBR001109,WP_000025662.1,copper resistance system metallochaperone PcoC,BlastRuleException,pcoC,,,94,90,90,235,2019-01-02
NBR001110,WP_003317555.1,copper resistance system chaperone CopC,BlastRuleException,copC,,,85,90,90,22,2020-01-28
NBR001111,"WP_001106019,WP_001105988,WP_001105984,WP_001106006.1",IS6-like element IS257 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2137,2023-10-03
NBR001112,WP_003232178.1,cell division protein DivIB,BlastRuleException,divIB,,,94,90,90,78,2018-01-16
NBR001113,WP_003721675.1,cyclic-di-AMP phosphodiesterase PdeA,BlastRuleException,pdeA,,,94,90,90,80,2018-01-16
NBR001114,"WP_003721972,WP_010886570.1",cyclic-di-AMP phosphodiesterase PgpH,BlastRuleException,pgpH,3.1.4.59,,94,90,90,258,2019-09-20
NBR001115,"WP_004399101,WP_003721956.1",DEAD-box ATP-dependent RNA helicase CshB,BlastRuleException,cshB,,,94,90,90,211,2019-08-09
NBR001116,WP_003722729.1,listeriolysin O transcriptional regulator PrfA,BlastRuleException,prfA,,,94,90,90,54,2020-05-19
NBR001117,WP_003721794.1,motility genes transcriptional repressor MogR,BlastRuleException,mogR,,,94,90,90,144,2018-01-16
NBR001118,WP_010989465.1,nuclear targeted protein LntA,BlastRuleException,lntA,,,80,90,90,162,2022-12-22
NBR001119,WP_003721950.1,transcriptional regulator ZurR,BlastRuleException,zurR,,,94,90,90,45,2018-01-16
NBR001120,WP_010989373.1,zinc metalloproteinase Mpl,BlastRuleException,mpl,,,94,90,90,202,2019-10-07
NBR001121,WP_003734485.1,cell wall teichoic acid glycosylation protein GtcA,BlastRuleEquivalog,gtcA,,,80,80,90,64,2018-01-16
NBR001122,WP_003245869.1,heme A synthase CtaA,BlastRuleEquivalog,ctaA,,,80,80,90,215,2018-01-16
NBR001123,"WP_003156196,WP_003732374,WP_001178942,WP_002373499.1",degradosome RNA helicase CshA,BlastRuleEquivalog,cshA,,,75,80,90,1520,2024-09-16
NBR001124,"WP_002372035,WP_003744462,WP_003322301,WP_010989667,WP_003728467.1",Cd(II)-sensing metalloregulatory transcriptional repressor CadC,BlastRuleException,cadC,,,90,90,90,45,2021-08-05
NBR001125,WP_003408051.1,cyclic peptide syringomycin export ABC transporter SyrD,BlastRuleException,syrD,,,94,90,90,22,2018-01-16
NBR001126,WP_097999706.1,pyoverdine export ABC transporter PvdE,BlastRuleException,pvdE,,,94,90,90,66,2018-01-16
NBR001127,WP_000422182.1,microcin J25 efflux ABC transporter YojI,BlastRuleException,yojI,,,94,90,90,1246,2018-01-16
NBR001128,WP_003243360.1,sporulation delaying protein SdpC,BlastRuleException,sdpC,,,94,90,90,12,2018-01-16
NBR001129,"WP_076611666,WP_076611694,WP_084012291.1",IS6-like element ISS1N family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,728,2023-10-03
NBR001130,"WP_004399022,WP_003723977.1",blue-light photoreceptor,BlastRuleEquivalog,,,,80,80,90,272,2019-11-13
NBR001131,WP_004399685.1,mini-ribonuclease 3,BlastRuleException,,,,94,90,90,34,2019-11-13
NBR001133,WP_010958692.1,bifunctional tRNA lysidine(34) synthetase TilS/hypoxanthine phosphoribosyltransferase HprT,BlastRuleException,,,,80,80,90,320,2019-11-13
NBR001134,WP_006393390.1,multidrug efflux transcriptional repressor AxyZ,BlastRuleEquivalog,axyZ,,,80,80,90,84,2018-08-24
NBR001135,WP_006393388.1,multidrug efflux RND transporter permease subunit AxyY,BlastRuleException,axyY,,,94,90,90,86,2020-02-03
NBR001136,WP_006393389.1,multidrug efflux RND transporter periplasmic adaptor subunit AxyX,BlastRuleException,axyX,,,94,90,90,26,2018-01-16
NBR001137,WP_067425690.1,F420-dependent reductase LmbY,BlastRuleException,lmbY,,,94,90,90,2,2018-01-16
NBR001138,WP_000597856.1,Sel1-like repeat protein HcpD,BlastRuleException,hcpD,,,94,90,90,783,2018-01-16
NBR001139,WP_000934263.1,outer membrane beta-barrel protein HofA,BlastRuleException,hofA,,,94,90,90,1309,2018-01-16
NBR001140,WP_000798606.1,outer membrane beta-barrel protein HofB,BlastRuleException,hofB,,,94,90,90,1801,2018-01-16
NBR001141,WP_000768579.1,outer membrane beta-barrel protein HofC,BlastRuleException,hofC,,,94,90,90,1232,2018-01-16
NBR001142,WP_001115603.1,outer membrane beta-barrel protein HofD,BlastRuleException,hofD,,,94,90,90,1246,2018-01-16
NBR001143,WP_000911476.1,outer membrane beta-barrel protein HofE,BlastRuleException,hofE,,,94,90,90,1223,2018-01-16
NBR001144,WP_001108275.1,outer membrane beta-barrel protein HofF,BlastRuleException,hofF,,,94,90,90,1685,2018-01-16
NBR001145,WP_001248496.1,outer membrane beta-barrel protein HofG,BlastRuleException,hofG,,,94,90,90,1695,2018-01-16
NBR001146,WP_000710296.1,outer membrane beta-barrel protein HofH,BlastRuleException,hofH,,,94,90,90,1400,2018-01-16
NBR001147,WP_009486941.1,ISH6-like element ISH31 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001148,WP_007139946.1,ISH6-like element ISHala2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR001149,WP_015910948.1,ISH6-like element ISHla10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,6,2023-10-03
